Country,URL,Continent,Income level,Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Albania,https://en.wikipedia.org/wiki/Albania,Europe,Upper middle,92029,Neutral,Neutral,Neutral,0.2581753,0.446503975,0.295320723,28,74,44,19.17808219,50.68493151,30.1369863,Neutral,Neutral,Neutral,0.088437969,0.639288375,0.272273659,12,99,35,8.219178082,67.80821918,23.97260274,Neutral,Neutral,Neutral,0.074209096,0.610048662,0.315742243,13,86,47,8.904109589,58.90410959,32.19178082
Algeria,https://en.wikipedia.org/wiki/Algeria,Africa,Upper middle,72320,Neutral,Neutral,Neutral,0.33265406,0.485905009,0.181440934,42,100,10,27.63157895,65.78947368,6.578947368,Neutral,Neutral,Neutral,0.136938775,0.699625265,0.163435952,18,122,12,11.84210526,80.26315789,7.894736842,Neutral,Neutral,Neutral,0.132955182,0.674999421,0.192045401,17,111,24,11.18421053,73.02631579,15.78947368
Andorra,https://en.wikipedia.org/wiki/Andorra,Europe,High,58360,Neutral,Neutral,Neutral,0.198673202,0.601746287,0.199580514,8,149,13,4.705882353,87.64705882,7.647058824,Neutral,Neutral,Neutral,0.059218174,0.786476914,0.154304908,3,156,11,1.764705882,91.76470588,6.470588235,Neutral,Neutral,Neutral,0.028761236,0.776452146,0.194786614,1,143,26,0.588235294,84.11764706,15.29411765
Angola,https://en.wikipedia.org/wiki/Angola,Africa,Lower middle,71527,Neutral,Neutral,Neutral,0.376811314,0.466401052,0.156787638,48,111,11,28.23529412,65.29411765,6.470588235,Neutral,Neutral,Neutral,0.179774636,0.697055969,0.123169398,21,135,14,12.35294118,79.41176471,8.235294118,Neutral,Neutral,Neutral,0.170383141,0.683232269,0.146384583,23,126,21,13.52941176,74.11764706,12.35294118
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,North America,High,34177,Neutral,Neutral,Neutral,0.278377477,0.535543487,0.186079036,17,54,4,22.66666667,72,5.333333333,Neutral,Neutral,Neutral,0.114204199,0.746359037,0.139436771,9,58,8,12,77.33333333,10.66666667,Neutral,Neutral,Neutral,0.08248079,0.791170434,0.12634877,7,62,6,9.333333333,82.66666667,8
Argentina,https://en.wikipedia.org/wiki/Argentina,South America,Upper middle,88635,Neutral,Neutral,Neutral,0.28948476,0.471257587,0.239257653,37,110,34,20.44198895,60.77348066,18.78453039,Neutral,Neutral,Neutral,0.103168675,0.630599422,0.266231909,9,132,40,4.972375691,72.9281768,22.09944751,Neutral,Neutral,Neutral,0.076323365,0.62979326,0.293883378,9,121,51,4.972375691,66.85082873,28.17679558
Armenia,https://en.wikipedia.org/wiki/Armenia,Asia,Upper middle,81904,Neutral,Neutral,Neutral,0.288692155,0.467370562,0.243937289,37,112,34,20.21857923,61.20218579,18.57923497,Neutral,Neutral,Neutral,0.126540181,0.670058693,0.203401128,18,136,29,9.836065574,74.31693989,15.84699454,Neutral,Neutral,Neutral,0.123863314,0.63880108,0.237335597,18,117,48,9.836065574,63.93442623,26.2295082
Australia,https://en.wikipedia.org/wiki/Australia,Oceania,High,61802,Neutral,Neutral,Neutral,0.257814123,0.526941529,0.215244343,18,88,15,14.87603306,72.72727273,12.39669421,Neutral,Neutral,Neutral,0.079732939,0.706657255,0.213609809,7,95,19,5.785123967,78.51239669,15.70247934,Neutral,Neutral,Neutral,0.045626569,0.732567457,0.221805972,7,91,23,5.785123967,75.20661157,19.00826446
Austria,https://en.wikipedia.org/wiki/Austria,Europe,High,72586,Neutral,Neutral,Neutral,0.294681905,0.49969024,0.205627852,31,113,17,19.25465839,70.1863354,10.55900621,Neutral,Neutral,Neutral,0.115385048,0.714520568,0.170094381,14,126,21,8.695652174,78.26086957,13.04347826,Neutral,Neutral,Neutral,0.085753499,0.752741353,0.161505142,10,133,18,6.211180124,82.60869565,11.18012422
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,Asia,Upper middle,71559,Neutral,Neutral,Neutral,0.237139014,0.502098931,0.260762055,16,100,23,11.51079137,71.94244604,16.54676259,Neutral,Neutral,Neutral,0.093815012,0.699256263,0.206928723,8,110,21,5.755395683,79.13669065,15.10791367,Neutral,Neutral,Neutral,0.071492834,0.721180613,0.207326556,7,109,23,5.035971223,78.41726619,16.54676259
Bahrain,https://en.wikipedia.org/wiki/Bahrain,Asia,High,81331,Neutral,Neutral,Neutral,0.324830758,0.475509108,0.199660132,41,91,22,26.62337662,59.09090909,14.28571429,Neutral,Neutral,Neutral,0.162933486,0.662846897,0.174219624,20,116,18,12.98701299,75.32467532,11.68831169,Neutral,Neutral,Neutral,0.135283799,0.664778961,0.199937241,21,107,26,13.63636364,69.48051948,16.88311688
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,Asia,Lower middle,69121,Neutral,Neutral,Neutral,0.331287565,0.404060946,0.26465149,36,56,25,30.76923077,47.86324786,21.36752137,Neutral,Neutral,Neutral,0.140874382,0.598202854,0.260922763,15,79,23,12.82051282,67.52136752,19.65811966,Neutral,Neutral,Neutral,0.143710419,0.569366661,0.286922921,15,74,28,12.82051282,63.24786325,23.93162393
Barbados,https://en.wikipedia.org/wiki/Barbados,North America,High,52311,Neutral,Neutral,Neutral,0.266281708,0.565245148,0.168473143,22,95,16,16.54135338,71.42857143,12.03007519,Neutral,Neutral,Neutral,0.093170735,0.739456991,0.167372275,7,110,16,5.263157895,82.70676692,12.03007519,Neutral,Neutral,Neutral,0.066685713,0.753544727,0.17976955,5,108,20,3.759398496,81.20300752,15.03759398
Belarus,https://en.wikipedia.org/wiki/Belarus,Europe,Upper middle,60406,Neutral,Neutral,Neutral,0.399710973,0.478717213,0.121571812,35,75,2,31.25,66.96428571,1.785714286,Neutral,Neutral,Neutral,0.180216639,0.721941056,0.097842303,16,90,6,14.28571429,80.35714286,5.357142857,Neutral,Neutral,Neutral,0.169722767,0.73972347,0.090553761,11,93,8,9.821428571,83.03571429,7.142857143
Belgium,https://en.wikipedia.org/wiki/Belgium,Europe,High,59519,Neutral,Neutral,Neutral,0.232837619,0.504307584,0.262854803,15,81,22,12.71186441,68.6440678,18.6440678,Neutral,Neutral,Neutral,0.084772064,0.706074207,0.209153734,7,95,16,5.93220339,80.50847458,13.55932203,Neutral,Neutral,Neutral,0.056195802,0.697353963,0.246450235,6,84,28,5.084745763,71.18644068,23.72881356
Belize,https://en.wikipedia.org/wiki/Belize,North America,Upper middle,75808,Neutral,Neutral,Neutral,0.248014049,0.536166444,0.215819504,36,130,25,18.84816754,68.06282723,13.08900524,Neutral,Neutral,Neutral,0.092626899,0.693618944,0.213754157,13,148,30,6.806282723,77.48691099,15.70680628,Neutral,Neutral,Neutral,0.071322317,0.698193232,0.230484447,13,147,31,6.806282723,76.96335079,16.23036649
Benin,https://en.wikipedia.org/wiki/Benin,Africa,Lower middle,37009,Neutral,Neutral,Neutral,0.282486833,0.549824393,0.167688776,18,71,3,19.56521739,77.17391304,3.260869565,Neutral,Neutral,Neutral,0.12387123,0.744522248,0.131606531,9,77,6,9.782608696,83.69565217,6.52173913,Neutral,Neutral,Neutral,0.087641109,0.757057874,0.155301023,8,74,10,8.695652174,80.43478261,10.86956522
Bhutan,https://en.wikipedia.org/wiki/Bhutan,Asia,Lower middle,71959,Neutral,Neutral,Neutral,0.306934733,0.492909106,0.200156159,31,97,15,21.67832168,67.83216783,10.48951049,Neutral,Neutral,Neutral,0.118272774,0.700901096,0.180826131,10,115,18,6.993006993,80.41958042,12.58741259,Neutral,Neutral,Neutral,0.105485182,0.691318495,0.20319633,8,110,25,5.594405594,76.92307692,17.48251748
Bolivia,https://en.wikipedia.org/wiki/Bolivia,South America,Lower middle,76665,Neutral,Neutral,Neutral,0.323104716,0.499266217,0.177629068,35,103,18,22.43589744,66.02564103,11.53846154,Neutral,Neutral,Neutral,0.129399954,0.697705077,0.172894974,15,119,22,9.615384615,76.28205128,14.1025641,Neutral,Neutral,Neutral,0.11204934,0.663776627,0.224174035,14,109,33,8.974358974,69.87179487,21.15384615
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,Europe,Upper middle,84471,Neutral,Neutral,Neutral,0.269245976,0.484294202,0.246459823,31,118,28,17.51412429,66.66666667,15.81920904,Neutral,Neutral,Neutral,0.127446343,0.694555214,0.177998443,12,138,27,6.779661017,77.96610169,15.25423729,Neutral,Neutral,Neutral,0.103126206,0.692855014,0.204018777,11,130,36,6.214689266,73.44632768,20.33898305
Botswana,https://en.wikipedia.org/wiki/Botswana,Africa,Upper middle,48030,Neutral,Neutral,Neutral,0.290507422,0.504615936,0.204876627,20,62,10,21.73913043,67.39130435,10.86956522,Neutral,Neutral,Neutral,0.095544614,0.690605125,0.213850261,8,74,10,8.695652174,80.43478261,10.86956522,Neutral,Neutral,Neutral,0.062957247,0.679257122,0.257785631,5,70,17,5.434782609,76.08695652,18.47826087
Brazil,https://en.wikipedia.org/wiki/Brazil,South America,Upper middle,84379,Neutral,Neutral,Neutral,0.269922947,0.486485655,0.243591395,29,109,21,18.23899371,68.55345912,13.20754717,Neutral,Neutral,Neutral,0.111404121,0.628904374,0.259691508,14,114,31,8.805031447,71.69811321,19.49685535,Neutral,Neutral,Neutral,0.08495262,0.648610967,0.266436417,11,112,36,6.918238994,70.44025157,22.64150943
Brunei,https://en.wikipedia.org/wiki/Brunei,Asia,High,51250,Neutral,Neutral,Neutral,0.297555738,0.529286233,0.173158019,27,92,11,20.76923077,70.76923077,8.461538462,Neutral,Neutral,Neutral,0.121699027,0.760682999,0.117617977,13,109,8,10,83.84615385,6.153846154,Neutral,Neutral,Neutral,0.110327542,0.764355841,0.125316611,12,107,11,9.230769231,82.30769231,8.461538462
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,Europe,High,61665,Neutral,Neutral,Neutral,0.352399552,0.423400547,0.224199895,28,42,13,33.73493976,50.60240964,15.6626506,Neutral,Neutral,Neutral,0.174621357,0.637468534,0.187910102,14,60,9,16.86746988,72.28915663,10.84337349,Neutral,Neutral,Neutral,0.137515773,0.665925506,0.196558723,10,61,12,12.04819277,73.4939759,14.45783133
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,Africa,Low,72057,Neutral,Neutral,Neutral,0.398696929,0.438782872,0.162520201,63,96,17,35.79545455,54.54545455,9.659090909,Neutral,Neutral,Neutral,0.229711363,0.641711443,0.128577191,42,119,15,23.86363636,67.61363636,8.522727273,Neutral,Neutral,Neutral,0.233496197,0.624100628,0.142403167,38,115,23,21.59090909,65.34090909,13.06818182
Burundi,https://en.wikipedia.org/wiki/Burundi,Africa,Low,51744,Neutral,Neutral,Negative,0.429211649,0.428494254,0.142294093,43,71,6,35.83333333,59.16666667,5,Neutral,Neutral,Neutral,0.239470013,0.661779795,0.098750197,25,88,7,20.83333333,73.33333333,5.833333333,Neutral,Neutral,Neutral,0.255906987,0.646023266,0.098069749,29,81,10,24.16666667,67.5,8.333333333
Cambodia,https://en.wikipedia.org/wiki/Cambodia,Asia,Lower middle,56573,Neutral,Neutral,Neutral,0.358803145,0.479085674,0.162111186,43,83,8,32.08955224,61.94029851,5.970149254,Neutral,Neutral,Neutral,0.220539693,0.64372542,0.13573489,31,94,9,23.13432836,70.14925373,6.71641791,Neutral,Neutral,Neutral,0.213765243,0.620021535,0.166213219,29,90,15,21.64179104,67.1641791,11.19402985
Cameroon,https://en.wikipedia.org/wiki/Cameroon,Africa,Lower middle,48299,Neutral,Neutral,Neutral,0.372618726,0.468046167,0.159335115,34,69,7,30.90909091,62.72727273,6.363636364,Neutral,Neutral,Neutral,0.204917262,0.670758367,0.124324372,22,82,6,20,74.54545455,5.454545455,Neutral,Neutral,Neutral,0.191073438,0.687609713,0.121316842,19,81,10,17.27272727,73.63636364,9.090909091
Canada,https://en.wikipedia.org/wiki/Canada,North America,High,66279,Neutral,Neutral,Neutral,0.265892785,0.492924372,0.241182848,18,68,16,17.64705882,66.66666667,15.68627451,Neutral,Neutral,Neutral,0.057768364,0.702605084,0.239626554,2,84,16,1.960784314,82.35294118,15.68627451,Neutral,Neutral,Neutral,0.045852062,0.6633097,0.290838237,3,75,24,2.941176471,73.52941176,23.52941176
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,Africa,Upper middle,42240,Neutral,Neutral,Neutral,0.204109472,0.558754362,0.237136153,9,70,17,9.375,72.91666667,17.70833333,Neutral,Neutral,Neutral,0.055786923,0.691162607,0.253050475,3,79,14,3.125,82.29166667,14.58333333,Neutral,Neutral,Neutral,0.043950697,0.704838086,0.251211226,3,73,20,3.125,76.04166667,20.83333333
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,Africa,Low,41920,Neutral,Neutral,Neutral,0.42772687,0.461276823,0.1109963,36,65,2,34.95145631,63.10679612,1.941747573,Neutral,Neutral,Neutral,0.208003195,0.718641656,0.073355148,16,84,3,15.53398058,81.55339806,2.912621359,Neutral,Neutral,Neutral,0.210912104,0.696263815,0.092824074,16,80,7,15.53398058,77.66990291,6.796116505
Chad,https://en.wikipedia.org/wiki/Chad,Africa,Low,41818,Neutral,Neutral,Negative,0.458872257,0.402582652,0.138545089,35,45,6,40.69767442,52.3255814,6.976744186,Neutral,Neutral,Neutral,0.254250557,0.655988367,0.089761083,22,58,6,25.58139535,67.44186047,6.976744186,Neutral,Neutral,Neutral,0.215520409,0.679483833,0.104995755,13,67,6,15.11627907,77.90697674,6.976744186
Chile,https://en.wikipedia.org/wiki/Chile,South America,High,86389,Neutral,Neutral,Neutral,0.260872305,0.502907304,0.236220384,31,115,29,17.71428571,65.71428571,16.57142857,Neutral,Neutral,Neutral,0.087227785,0.677853083,0.23491913,11,134,30,6.285714286,76.57142857,17.14285714,Neutral,Neutral,Neutral,0.062355345,0.666315548,0.271329105,9,127,39,5.142857143,72.57142857,22.28571429
China,https://en.wikipedia.org/wiki/China,Asia,Upper middle,88042,Neutral,Neutral,Neutral,0.329663524,0.457738131,0.212598345,41,71,14,32.53968254,56.34920635,11.11111111,Neutral,Neutral,Neutral,0.11134746,0.607211653,0.281440891,8,89,29,6.349206349,70.63492063,23.01587302,Neutral,Neutral,Neutral,0.103039943,0.605438355,0.291521703,10,78,38,7.936507937,61.9047619,30.15873016
Colombia,https://en.wikipedia.org/wiki/Colombia,South America,Upper middle,77872,Neutral,Neutral,Neutral,0.209006027,0.528125465,0.262868511,15,98,28,10.63829787,69.5035461,19.85815603,Neutral,Neutral,Neutral,0.060399242,0.68173629,0.257864467,5,105,31,3.546099291,74.46808511,21.9858156,Neutral,Neutral,Neutral,0.035517977,0.680012776,0.28446925,3,100,38,2.127659574,70.92198582,26.95035461
Comoros,https://en.wikipedia.org/wiki/Comoros,Africa,Lower middle,39961,Neutral,Neutral,Neutral,0.331309153,0.510506239,0.158184599,25,58,5,28.40909091,65.90909091,5.681818182,Neutral,Neutral,Neutral,0.130989848,0.782726471,0.086283685,11,76,1,12.5,86.36363636,1.136363636,Neutral,Neutral,Neutral,0.116787996,0.791322799,0.09188919,10,74,4,11.36363636,84.09090909,4.545454545
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,North America,High,48260,Neutral,Neutral,Neutral,0.212395444,0.519543347,0.268061215,10,81,23,8.771929825,71.05263158,20.1754386,Neutral,Neutral,Neutral,0.052467283,0.657053951,0.290478767,1,91,22,0.877192982,79.8245614,19.29824561,Neutral,Neutral,Neutral,0.032513505,0.628022688,0.33946381,2,82,30,1.754385965,71.92982456,26.31578947
Croatia,https://en.wikipedia.org/wiki/Croatia,Europe,High,73277,Neutral,Neutral,Neutral,0.244673064,0.494262464,0.261064472,22,91,23,16.17647059,66.91176471,16.91176471,Neutral,Neutral,Neutral,0.095703025,0.699683262,0.20461371,11,111,14,8.088235294,81.61764706,10.29411765,Neutral,Neutral,Neutral,0.070263916,0.711946792,0.217789293,8,103,25,5.882352941,75.73529412,18.38235294
Cuba,https://en.wikipedia.org/wiki/Cuba,North America,Upper middle,86319,Neutral,Neutral,Neutral,0.400509533,0.435233538,0.164256931,54,104,8,32.53012048,62.65060241,4.819277108,Neutral,Neutral,Neutral,0.16450538,0.699014056,0.136480563,22,133,11,13.25301205,80.12048193,6.626506024,Neutral,Neutral,Neutral,0.155598423,0.663575559,0.180826019,23,119,24,13.85542169,71.68674699,14.45783133
Cyprus,https://en.wikipedia.org/wiki/Cyprus,Asia,High,73818,Neutral,Neutral,Neutral,0.293950602,0.525916995,0.18013241,27,126,16,15.97633136,74.55621302,9.467455621,Neutral,Neutral,Neutral,0.132224584,0.724915951,0.14285947,12,141,16,7.100591716,83.43195266,9.467455621,Neutral,Neutral,Neutral,0.097070751,0.761666459,0.141262792,12,141,16,7.100591716,83.43195266,9.467455621
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,Europe,High,61823,Neutral,Neutral,Neutral,0.237925071,0.536991135,0.225083792,15,121,15,9.933774834,80.13245033,9.933774834,Neutral,Neutral,Neutral,0.06032964,0.72454712,0.215123241,5,123,23,3.311258278,81.45695364,15.23178808,Neutral,Neutral,Neutral,0.046054019,0.699334727,0.254611254,5,116,30,3.311258278,76.82119205,19.86754967
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,Africa,Low,83779,Neutral,Negative,Neutral,0.418341128,0.431263487,0.150395383,61,89,10,38.125,55.625,6.25,Neutral,Neutral,Neutral,0.193628388,0.679641989,0.126729623,30,122,8,18.75,76.25,5,Neutral,Neutral,Neutral,0.207799278,0.647958405,0.144242311,33,110,17,20.625,68.75,10.625
Denmark,https://en.wikipedia.org/wiki/Denmark,Europe,High,82769,Neutral,Neutral,Neutral,0.251038186,0.48539692,0.263564881,20,95,31,13.69863014,65.06849315,21.23287671,Neutral,Neutral,Neutral,0.059570149,0.671054163,0.269375687,2,107,37,1.369863014,73.28767123,25.34246575,Neutral,Neutral,Neutral,0.027531585,0.65071173,0.32175668,2,94,50,1.369863014,64.38356164,34.24657534
Djibouti,https://en.wikipedia.org/wiki/Djibouti,Africa,Lower middle,78513,Neutral,Neutral,Neutral,0.276537596,0.524444327,0.199018077,22,103,13,15.94202899,74.63768116,9.420289855,Neutral,Neutral,Neutral,0.110116928,0.75348854,0.136394536,8,121,9,5.797101449,87.68115942,6.52173913,Neutral,Neutral,Neutral,0.087851621,0.757591322,0.154557054,6,118,14,4.347826087,85.50724638,10.14492754
